,Name,Vopt,g-z,gMAG,M*,sSFR,rms,VHI,W50,FHI,S/N,MHI
113,ASK138954,3490,0.63,-16.60,8.06,-9.60,0.3,3502,128,3502,37.06,8.66
114,ASK139485,6206,0.52,-17.81,8.81,-9.72,0.49,6207,161,6207,16.6,9.08
115,ASK139520,5776,0.36,-16.80,8.21,-9.41,0.56,5799,118,5799,12.87,8.9
116,CGCG427-032,8724,1.83,-20.88,11.16,-11.90,1.49,8540,93,8540,11.11,9.55
117,2MASXJ21541799+0056318,2976,0.42,-17.39,8.36,-9.18,0.61,2991,138,2991,35.68,8.83
118,ASK140028,8800,0.27,-18.13,6.89,-9.45,0.47,8785,128,8785,32.1,9.6
119,NGC7189,9020,1.45,-21.51,11.1,-10.63,0.63,9054,391,9054,33.29,10.01
120,ASK140519,7771,0.89,-18.50,,,0.46,7769,405,7769,32.3,9.73
121,ASK141077,5125,0.71,-16.44,8.68,-9.46,0.53,5108,155,5108,29.02,9.18
122,ASK23608,7728,0.58,-17.19,,,0.82,7719,158,7719,15.44,9.45
123,PGC1123197,4747,1.48,-18.99,10.1,-11.15,0.77,4760,78,4760,8.46,8.59
